Id	Nom	Sexe	Date de naissance	Pere	Mere	Pays	Jumeaux	Numero Race	Nom Race	Cheptel Actuel	Detenteur Actuel
339057942	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339057943	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339057944	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339057945	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339057946	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339057947	NUTELLA	2	13/9/2016	1441599152	312125140	FR	False				
339057948	NUTELLA	2	13/9/2016	1441899152	312125140	FR	False				
339057949	NUTELLA	2	13/9/2016	1441599152	312125140	FR	False				
339057950	NUTELLA	2	13/9/2016	1441899152	312125140	FR	False				
339057951	NUTELLA	2	13/9/2016	1441599152	312125140	FR	False				
339057952	NUTELLA	2	13/9/2016	1441899152	312125141	FR	False				
339057953	NUTELLA	2	13/9/2016	1441599152	312125142	FR	False				
339057954	NUTELLA	2	13/9/2016	1441899152	312125143	FR	False				
339057955	NUTELLA	2	13/9/2016	1441599152	312125144	FR	False				
339057956	NUTELLA	2	13/9/2016	1441899152	312125145	FR	False				
339057957	NUTELLA	2	13/9/2016	1441599152	312125146	FR	False				
339057958	NUTELLA	1	13/9/2016	1441899152	312125147	FR	False				
339057959	NUTELLA	1	13/9/2016	1441599152	312125148	FR	False				
339057960	NUTELLA	1	13/9/2016	1441899152	312125149	FR	False				
339057961	NUTELLA	2	13/9/2016	1441599152	312125150	FR	False				
339057962	NUTELLA	2	13/9/2016	1441899152	312125151	FR	False				
339057963	NUTELLA	2	13/9/2016	1441599152	312125152	FR	False				
339057964	NUTELLA	2	13/9/2016	1441899152	312125153	FR	False				
339057965	NUTELLA	1	13/9/2016	1441599152	312125154	FR	False				
339057966	NUTELLA	1	13/9/2016	1441899152	312125155	FR	False				
339057967	NUTELLA	1	13/9/2016	1441599152	312125156	FR	False				
339057968	NUTELLA	1	13/9/2016	1441899152	312125157	FR	False				
339057969	NUTELLA	1	13/9/2016	1441599152	312125158	FR	False				
339057970	NUTELLA	1	13/9/2016	1441899152	312125159	FR	False				
339057971	NUTELLA	1	13/9/2016	1441599152	312125160	FR	False				
339057972	NUTELLA	1	13/9/2016	1441899152	312125161	FR	False				
339057973	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339057974	NUTELLA	2	13/9/2016	1441899152	312125140	FR	False				
339057975	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339057976	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339057977	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339057978	NUTELLA	2	13/9/2016	1441899152	312125140	FR	False				
339057979	NUTELLA	2	13/9/2016	1441599152	312125140	FR	False				
339057980	NUTELLA	2	13/9/2016	1441899152	312125140	FR	False				
339057981	NUTELLA	2	13/9/2016	1441599152	312125140	FR	False				
339057982	NUTELLA	2	13/9/2016	1441899152	312125140	FR	False				
339057983	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339057984	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339057985	NUTELLA	2	13/9/2016	1441599152	312125140	FR	False				
339057986	NUTELLA	2	13/9/2016	1441899152	312125140	FR	False				
339057987	NUTELLA	2	13/9/2016	1441599152	312125140	FR	False				
339057988	NUTELLA	2	13/9/2016	1441899152	312125140	FR	False				
339057989	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339057990	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339057991	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339057992	NUTELLA	2	13/9/2016	1441899152	312125140	FR	False				
339057993	NUTELLA	2	13/9/2016	1441599152	312125140	FR	False				
339057994	NUTELLA	2	13/9/2016	1441899152	312125140	FR	False				
339057995	NUTELLA	2	13/9/2016	1441599152	312125140	FR	False				
339057996	NUTELLA	2	13/9/2016	1441899152	312125140	FR	False				
339057997	NUTELLA	2	13/9/2016	1441599152	312125140	FR	False				
339057998	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339057999	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339058000	NUTELLA	2	13/9/2016	1441899152	312125140	FR	False				
339058001	NUTELLA	2	13/9/2016	1441599152	312125140	FR	False				
339058002	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339058003	NUTELLA	2	13/9/2016	1441599152	312125140	FR	False				
339058004	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339058005	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339058006	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339058007	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339058008	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339058009	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339058010	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339058011	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339058012	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339058013	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339058014	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339058015	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339058016	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339058017	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339058018	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339058019	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339058020	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339058021	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339058022	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339058023	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339058024	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339058025	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339058026	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339058027	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339058028	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339058029	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339058030	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339058031	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339058032	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339058033	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339058034	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339058035	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339058036	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339058037	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339058038	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339058039	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339058040	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339058041	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339058042	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339058043	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339058044	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339058045	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339058046	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339058047	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339058048	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339058049	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339058050	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
339058051	NUTELLA	1	13/9/2016	1441899152	312125140	FR	False				
339058052	NUTELLA	1	13/9/2016	1441599152	312125140	FR	False				
